year,home_value,maintenance,property_tax,opportunity_cost,cumulative_maintenance,cumulative_property_tax,cumulative_opportunity_cost
1,2448000.0,42840.00000000001,0.0,0.0,42840.00000000001,0.0,0.0
2,2496960.0,43696.8,0.0,0.0,86536.80000000002,0.0,0.0
3,2546899.2,44570.736000000004,0.0,0.0,131107.53600000002,0.0,0.0
4,2597837.1840000004,45462.15072000001,0.0,0.0,176569.68672000003,0.0,0.0
5,2649793.92768,46371.39373440001,0.0,0.0,222941.08045440004,0.0,0.0
6,2702789.8062336002,47298.82160908801,0.0,0.0,270239.902063488,0.0,0.0
7,2756845.6023582723,48244.79804126977,0.0,0.0,318484.7001047578,0.0,0.0
8,2811982.5144054377,49209.694002095166,0.0,0.0,367694.39410685294,0.0,0.0
9,2868222.1646935465,50193.88788213707,0.0,0.0,417888.28198899,0.0,0.0
10,2925586.6079874174,51197.765639779805,0.0,0.0,469086.0476287698,0.0,0.0
11,2984098.3401471656,52221.7209525754,0.0,0.0,521307.7685813452,0.0,0.0
12,3043780.306950109,53266.15537162691,0.0,0.0,574573.9239529722,0.0,0.0
13,3104655.9130891114,54331.47847905946,0.0,0.0,628905.4024320316,0.0,0.0
14,3166749.031350894,55418.10804864065,0.0,0.0,684323.5104806722,0.0,0.0
15,3230084.011977912,56526.470209613464,0.0,0.0,740849.9806902857,0.0,0.0
16,3294685.69221747,57656.99961380573,0.0,0.0,798506.9803040915,0.0,0.0
17,3360579.4060618198,58810.13960608185,0.0,0.0,857317.1199101734,0.0,0.0
18,3427790.994183056,59986.34239820349,0.0,0.0,917303.4623083768,0.0,0.0
19,3496346.8140667174,61186.06924616756,0.0,0.0,978489.5315545443,0.0,0.0
20,3566273.750348052,62409.79063109092,0.0,0.0,1040899.3221856352,0.0,0.0
21,3637599.2253550133,63657.98644371274,0.0,0.0,1104557.308629348,0.0,0.0
22,3710351.2098621135,64931.14617258699,0.0,0.0,1169488.454801935,0.0,0.0
23,3784558.2340593557,66229.76909603873,0.0,0.0,1235718.2238979738,0.0,0.0
24,3860249.398740543,67554.3644779595,0.0,0.0,1303272.5883759332,0.0,0.0
25,3937454.386715354,68905.4517675187,0.0,0.0,1372178.040143452,0.0,0.0
26,4016203.474449661,70283.56080286908,0.0,0.0,1442461.600946321,0.0,0.0
27,4096527.5439386545,71689.23201892646,0.0,0.0,1514150.8329652473,0.0,0.0
28,4178458.0948174275,73123.016659305,0.0,0.0,1587273.8496245523,0.0,0.0
29,4262027.256713776,74585.47699249108,0.0,0.0,1661859.3266170435,0.0,0.0
30,4347267.801848051,76077.1865323409,0.0,0.0,1737936.5131493844,0.0,0.0
31,4434213.157885012,77598.73026298772,0.0,0.0,1815535.2434123722,0.0,0.0
32,4522897.421042712,79150.70486824747,0.0,0.0,1894685.9482806197,0.0,0.0
33,4613355.369463567,80733.71896561242,0.0,0.0,1975419.667246232,0.0,0.0
34,4705622.476852838,82348.39334492467,0.0,0.0,2057768.0605911566,0.0,0.0
35,4799734.926389894,83995.36121182315,0.0,0.0,2141763.42180298,0.0,0.0
36,4895729.6249176925,85675.26843605963,0.0,0.0,2227438.6902390397,0.0,0.0
37,4993644.217416046,87388.77380478082,0.0,0.0,2314827.4640438207,0.0,0.0
38,5093517.101764367,89136.54928087642,0.0,0.0,2403964.013324697,0.0,0.0
39,5195387.443799654,90919.28026649395,0.0,0.0,2494883.293591191,0.0,0.0
40,5299295.192675647,92737.66587182383,0.0,0.0,2587620.9594630147,0.0,0.0
