year,rent,portfolio_value,cumulative_rent
1,30600.0,3089400.0,30600.0
2,31212.0,3181764.0,61812.0
3,31836.24,3277198.32,93648.24
4,32472.9648,3375813.2879999997,126121.2048
5,33122.424096,3477723.395424,159243.628896
6,33784.87257792,3583047.45866304,193028.50147392
7,34460.570029478404,3691908.786980083,227489.07150339842
8,35149.781430067975,3804435.3570292187,262638.8529334664
9,35852.77705866934,3920759.9942517183,298491.6299921357
10,36569.832599842724,4041020.5614219443,335061.46259197843
11,37301.22925183958,4165360.1546269828,372362.691843818
12,38047.25383687637,4293927.306975186,410409.94568069436
13,38808.1989136139,4426876.200340579,449218.1445943083
14,39584.36289188618,4564366.885462316,488802.5074861945
15,40376.0501497239,4706565.510731084,529178.5576359184
16,41183.57115271838,4853644.560007609,570362.1287886368
17,42007.24257577275,5005783.099832141,612369.3713644096
18,42847.3874272882,5163167.036398139,655216.7587916978
19,43704.33517583397,5325989.382678231,698921.0939675318
20,44578.42187935065,5494450.536106011,743499.5158468825
21,45469.99031693766,5668758.567233314,788969.5061638202
22,46379.39012327642,5849129.51979937,835348.8962870965
23,47306.97792574195,6035787.722665603,882655.8742128385
24,48253.11748425679,6228966.114087971,930908.9916970952
25,49218.179833941926,6428906.578817548,980127.1715310372
26,50202.54343062077,6635860.298539629,1030329.714961658
27,51206.594299233184,6850088.116181981,1081536.3092608913
28,52230.72618521785,7071860.914644043,1133767.0354461093
29,53275.34070892221,7301460.010520882,1187042.3761550314
30,54340.84752310065,7539177.563418617,1241383.223678132
31,55427.66447356267,7785317.001481799,1296810.8881516948
32,56536.21776303392,8040193.463778038,1353347.1059147287
33,57666.9421182946,8304134.260210865,1411014.0480330233
34,58820.28096066049,8577479.34965864,1469834.3289936837
35,59996.686579873705,8860581.837065112,1529831.0155735575
36,61196.62031147118,9153808.490236245,1591027.6358850286
37,62420.55271770061,9457540.277127994,1653448.1886027292
38,63668.96377205462,9772172.92444106,1717117.1523747838
39,64942.34304749572,10098117.498371206,1782059.4954222795
40,66241.18990844564,10435801.00839761,1848300.685330725
